Incident Date,State,City Or County,Address,# Killed,# Injured,Year
2015-12-11,Pennsylvania,Pittsburgh (Mount Oliver),200 block of  Brownsville Road,0,4,2015
2015-12-08,Ohio,Cincinnati (Fairmount),2300 block of Baltimore Avenue,1,3,2015
2015-12-06,Louisiana,Raceland,Market Street,1,3,2015
2015-12-06,Nebraska,Omaha,North 108th Street and Military Road,2,3,2015
2015-12-02,California,San Bernardino,1365 South Waterman Avenue,16,19,2015
2015-12-02,Georgia,Savannah,100 block of West 33rd Street,1,3,2015
2015-11-29,Illinois,Kankakee,648 E Court St,0,5,2015
2015-11-27,Colorado,Colorado Springs,3480 Centennial Blvd,3,9,2015
2015-11-27,California,Sacramento,7900 block of Florin Road,2,2,2015
2015-11-24,South Carolina,Horry (county),1321 Colletta Court,0,4,2015
2015-11-23,Ohio,Columbus,90 block of S. Terrace Avenue,4,1,2015
2015-11-23,Minnesota,Minneapolis,Morgan Avenue North,0,5,2015
2015-11-22,Texas,Brownsville,1800 block of FM 802,0,4,2015
2015-11-22,Washington,Seattle,Broadway and Pike,0,4,2015
2015-11-22,New York,Newburgh,203 Broadway,0,5,2015
2015-11-22,South Carolina,North Charleston,Park Circle,1,3,2015
2015-11-22,Illinois,Chicago,4100 block of West Roosevelt,0,4,2015
2015-11-22,Louisiana,New Orleans,1900 block of Gallier Street,0,17,2015
2015-11-21,Maryland,Baltimore,Stricker and School,1,3,2015
2015-11-20,Pennsylvania,Pittsburgh,Prospect Drive,1,3,2015
2015-11-18,California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,0,5,2015
2015-11-16,Alabama,Cedar Bluff,1460 County Rd 664,3,1,2015
2015-11-15,Texas,Tennessee Colony,800 block of An County Rd 2217,5,0,2015
2015-11-15,Pennsylvania,Philadelphia,5600 block of Blakemore Street,0,4,2015
2015-11-14,Pennsylvania,Johnstown,1159 Main St,0,4,2015
2015-11-13,Florida,Jacksonville,1300 block of South Shirley Oaks Drive,4,1,2015
2015-11-09,Indiana,Indianapolis,400 block of North Beville Ave,2,2,2015
2015-11-08,Iowa,Des Moines,4397 NW 6th Drive,1,3,2015
2015-11-08,Michigan,Warren,13859 8 Mile Road,0,4,2015
2015-11-07,Colorado,Denver,Bayaud and Bannock,1,3,2015
2015-11-06,California,Bakersfield,1000 block of Feliz Drive,0,4,2015
2015-11-03,Florida,Jacksonville,Ella Street and Kings Road,2,3,2015
2015-11-02,South Carolina,Pendleton,2217 Refuge Road,4,0,2015
2015-10-28,Louisiana,Houma,400 block of Morgan Street,1,3,2015
2015-10-27,Texas,Fort Worth,1700 block of Southcrest Drive,0,5,2015
2015-10-26,Indiana,Evansville,711 E Virginia St,0,5,2015
2015-10-25,North Carolina,Four Oaks,2339 Stricklands Crossroads Road,0,5,2015
2015-10-25,Arizona,Phoenix,Seventh Street and Broadway,1,4,2015
2015-10-25,District of Columbia,Washington,4300 block of Wheeler Road SE,0,5,2015
2015-10-24,South Carolina,Bamberg,682 Dixie Ave.,0,4,2015
2015-10-22,Tennessee,Nashville,3500 John A. Merritt Blvd,1,3,2015
2015-10-19,Illinois,Calumet City,300 Campbell Avenue,0,6,2015
2015-10-18,Louisiana,New Orleans,2600 block of Caffin Avenue,0,4,2015
2015-10-17,Indiana,Elkhart,160 Easy Shopping Place,0,4,2015
2015-10-17,Florida,Fort Myers,2224 First St,1,4,2015
2015-10-12,Georgia,Decatur,4731 Glenwood Road,0,4,2015
2015-10-10,Tennessee,Memphis,6135 Mount Moriah Road,0,6,2015
2015-10-10,North Carolina,Charlotte,1900 block of West Boulevard,0,4,2015
2015-10-10,Illinois,Peoria,2405 N Flora,1,3,2015
2015-10-09,Arizona,Flagstaff,216 E Mountain View Dr,1,3,2015
2015-10-06,Maryland,Baltimore,300 block of North Payson Street,0,5,2015
2015-10-02,Maryland,Baltimore,5400 Reisterstown Road,1,4,2015
2015-10-01,Oregon,Roseburg,1140 Umpqua College Rd,10,9,2015
2015-09-28,Ohio,Cincinnati (Evanston),1800 block of Hewitt Avenue,0,5,2015
2015-09-28,Illinois,Chicago,300 block of West 42nd Street,3,2,2015
2015-09-28,Illinois,Chicago,5300 block of South Aberdeen Street,2,3,2015
2015-09-28,Ohio,Dayton,1921 Oakridge,0,4,2015
2015-09-27,Georgia,Greenville,1140 Hill Haven Road,0,10,2015
2015-09-27,Illinois,Chicago,5200 block of South Justine,0,4,2015
2015-09-27,Missouri,Kansas City,1700 E. 18th St.,0,4,2015
2015-09-25,Illinois,Danville,1300 block of May Street,0,4,2015
2015-09-24,Illinois,Chicago,5100 block of South Morgan Street,0,5,2015
2015-09-23,Louisiana,Shreveport,2900 block of Peach Street,0,5,2015
2015-09-23,Florida,Fort Myers,Dale Street and Veronica S. Shoemaker Boulevard,0,4,2015
2015-09-23,Georgia,Norcross,1300 block of Reddington Lane,1,3,2015
2015-09-20,Pennsylvania,Philadelphia,900 block of Pratt Street,1,3,2015
2015-09-20,Illinois,Chicago,5700 block of South LaSalle,1,5,2015
2015-09-20,Oklahoma,Tulsa,Pine and Yale,0,6,2015
2015-09-19,Indiana,Indianapolis,3900 block of Graceland Avenue,1,3,2015
2015-09-17,South Dakota,Geddes,36705 379th Street,6,0,2015
2015-09-17,Michigan,Albion,500 block of W. Broadwell Street,0,4,2015
2015-09-15,New Jersey,Newark,Irvine Turner Boulevard and West Kinney Street,0,4,2015
2015-09-13,Florida,Ocala,1910 South Pine Avenue,1,5,2015
2015-09-12,Louisiana,Shreveport,1500 block of Clanton Street,0,4,2015
2015-09-12,New York,Rochester,36 Woodward Street,2,4,2015
2015-09-12,Minnesota,Minneapolis,1st Ave. and N. 5th St.,0,6,2015
2015-09-12,Minnesota,Minneapolis,1200 block of 22nd Ave. N.,1,3,2015
2015-09-11,North Carolina,Charlotte,1000 North Carolina Music Factory Blvd.,0,5,2015
2015-09-10,Minnesota,Excelsior (Greenwood),Channel Drive,5,0,2015
2015-09-08,Georgia,Berlin,,0,4,2015
2015-09-08,Illinois,Chicago,56th and Green,0,4,2015
2015-09-07,Indiana,Gary,9300 block of Sunrise,2,4,2015
2015-09-07,Colorado,Denver,1909 Blake Street,0,4,2015
2015-09-05,North Carolina,Charlotte,6800 block of Fieldvale Place,1,3,2015
2015-09-05,Florida,Daytona Beach,300 block of Pearl Street,0,4,2015
2015-09-05,Nevada,Las Vegas,5000 block of Hollywood Boulevard,1,3,2015
2015-09-05,Missouri,Columbia,1509 Ashley Street,0,4,2015
2015-08-30,Tennessee,Memphis,3300 block of Sobota Circle,1,4,2015
2015-08-29,Tennessee,Bristol,618 Henson Road,3,2,2015
2015-08-29,Texas,Tyler,638 ENE Loop 323,1,3,2015
2015-08-28,New York,Brooklyn,589 Flatbush Avenue,1,3,2015
2015-08-27,California,Salinas,928 Blanco Circle,2,2,2015
2015-08-26,Illinois,Chicago,3025 W. Van Buren Ave,2,2,2015
2015-08-26,Minnesota,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,0,4,2015
2015-08-26,Florida,West Palm Beach,800 block of 19th Street,2,2,2015
2015-08-25,Louisiana,New Orleans,Fern Street and Olive Street,1,3,2015
2015-08-23,California,Modesto,1100 block of Kansas Avenue,1,7,2015
2015-08-22,Florida,Orlando (Pine Hills),State Road 408,0,4,2015
2015-08-22,New Mexico,Roswell,302 East Reed Street,3,1,2015
